Plant ID,Unit of Analysis,State,Utility Name,Unit Name,Plant Type,Operating Year,Nameplate Capacity (MW),Utility Ownership (%),Generation (MWh),Fuel Costs ($),Non-Fuel Variable O&M Costs ($),Fixed O&M Costs ($),Total Production Costs,Fuel Costs ($/MWh),Non-Fuel Variable O&M Costs ($/MWh),Fixed O&M Costs ($/MWh),Operating Costs ($/MWh),Capacity Factor (%),Reported Depreciation Expense ($),Current Net Plant Balance ($),Current Total Retirement Cost ($),Current Remaining Life (Yrs),Adjusted Depreciation Expense ($),Adjusted Net Plant Balance ($),Adjusted Net Plant Balance Incl. Removal Net of Salvage ($),Utility's Blended Tax Rate (%),Utility's Allowed ROR (%),Utility's Allowed ROE (%),Equity Ratio (%),Cost of Debt (%),Return on Capital ($),Pre-PTC Contribution to Revenue Requirement ($),PTC Contribution @ $23/MWh ($),Contribution to Revenue Requirement Excl ADIT ($),Total Cost of Electricity Excluding ADIT ($/MWh),Capital Cost of Electricity Excluding ADIT ($/MWh),State for PPA,Regional Solar PPA Price ($/MWh),Regional Wind PPA Price ($/MWh)
1893_1,Generator,MN,Minnesota Power,Boswell 1,Conventional Steam Coal,1958,75,1,457467,10077948.94,695259.2405,1847603.078,12620811.26,22.02989274,1.519801954,4.038767994,27.58846269,0.696296804,3440014.489,9112296.332,13760057.96,4,3440014.489,9112296.332,13760057.96,0.28742,0.0818,0.1038,0.5429,0.045693136,1579573.859,17640399.61,0,17640399.61,38.56103196,10.97256927,MN,23.20392207,23.20392207
1893_2,Generator,MN,Minnesota Power,Boswell 2,Conventional Steam Coal,1960,75,1,448332,9683802.385,681375.8497,1847603.078,12212781.31,21.59962346,1.519801954,4.121060013,27.24048543,0.682392694,3111884.978,7065299.377,12447539.91,4,3111884.978,7065299.377,12447539.91,0.28742,0.0818,0.1038,0.5429,0.045693136,1428904.494,16753570.78,0,16753570.78,37.3686705,10.12818508,MN,23.20392207,23.20392207
1893_3,Generator,MN,Minnesota Power,Boswell 3,Conventional Steam Coal,1973,364.5,1,2291551,49517258.89,3482703.688,8979350.958,61979313.54,21.6086218,1.519801954,3.918460012,27.04688376,0.717675116,19495965.61,242699422.3,272943518.6,14,19495965.61,242699422.3,272943518.6,0.28742,0.0818,0.1038,0.5429,0.045693136,31332313.31,112807592.5,0,112807592.5,49.22761591,22.18073214,MN,23.20392207,23.20392207
1893_4,Generator,MN,Minnesota Power,Boswell 4,Conventional Steam Coal,1980,558,0.8,4253073,90144879.03,6463828.656,13746166.9,110354874.6,21.19523437,1.519801954,3.232055246,25.94709157,0.87009071,26429899.07,370555691.4,396448486.1,15,33037373.84,463194614.2,495560607.6,0.28742,0.0818,0.1038,0.5429,0.045693136,56887448,200279696.4,0,200279696.4,47.09058519,21.14349362,MN,23.20392207,23.20392207
10075,Plant,MN,Minnesota Power,Taconite Harbor,Conventional Steam Coal,1957,168,1,512716.05,12560910,2026153.2,4727690.8,19314754,24.49876496,3.951803732,9.220875375,37.67144407,0.348388271,9174365.342,47156086.9,55046192.05,6,9174365.342,47156086.9,55046192.05,0.28742,0.0818,0.1038,0.5429,0.045693136,6318979.637,34808098.98,0,34808098.98,67.8896223,30.21817823,MN,23.20392207,23.20392207
57038,Plant,ND,Minnesota Power,Bison,Onshore Wind Turbine,2010,494.5,1,1756828,0,3900586.8,9101369.2,13001956,0,2.220243985,5.180569299,7.400813284,0.405563481,22561076.81,606684791.7,609149074,27,22561076.81,606684791.7,609149074,0.28742,0.0818,0.1038,0.5429,0.045693136,69926737,105489769.8,0,105489769.8,60.04558774,52.64477445,MN,23.20392207,23.20392207
1892,Plant,MN,Minnesota Power,Blanchard,Conventional Hydroelectric,1946,18,1,114264.79,0,219719.7,512679.3,732399,0,1.922899434,4.486765346,6.40966478,0.724662544,140241.8511,6030399.596,6030399.596,43,140241.8511,6030399.596,6030399.596,0.28742,0.0818,0.1038,0.5429,0.045693136,692254.4654,1564895.316,0,1564895.316,13.69534146,7.285676685,MN,23.20392207,23.20392207
1894,Plant,MN,Minnesota Power,Fond Du Lac,Conventional Hydroelectric,1924,12,1,69190.23,0,149175,348075,497250,0,2.156012489,5.030695808,7.186708297,0.65820234,305581.0638,13139985.74,13139985.74,43,305581.0638,13139985.74,13139985.74,0.28742,0.0818,0.1038,0.5429,0.045693136,1508393.21,2311224.274,0,2311224.274,33.40391085,26.21720255,MN,23.20392207,23.20392207
1895,Plant,MN,Minnesota Power,Knife Falls,Conventional Hydroelectric,1922,2.4,1,14834.492,0,55056.6,128465.4,183522,0,3.711390993,8.659912318,12.37130331,0.705597983,36680.87234,1577277.511,1577277.511,43,36680.87234,1577277.511,1577277.511,0.28742,0.0818,0.1038,0.5429,0.045693136,181062.197,401265.0694,0,401265.0694,27.04946481,14.6781615,MN,23.20392207,23.20392207
1896,Plant,MN,Minnesota Power,Little Falls (MN),Conventional Hydroelectric,1924.833333,4.6,1,34384.59,0,173895,405755,579650,0,5.057352727,11.8004897,16.85784242,0.853300328,99962.04255,4298367.83,4298367.83,43,99962.04255,4298367.83,4298367.83,0.28742,0.0818,0.1038,0.5429,0.045693136,493427.3885,1173039.431,0,1173039.431,34.11526591,17.25742349,MN,23.20392207,23.20392207
