,Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Technology,Ownership,Nameplate Capacity (MW),Plant Balance,Retirement Year,Total Cost of Electricity Excluding ADIT ($/MWh),Current Designation,Predicted Retirement Year
0,195,Alabama Power Co,2.0,Bankhead Dam,AL,1,Conventional Hydroelectric,S,53.9,,,,,
1,195,Alabama Power Co,3.0,Barry,AL,1,Natural Gas Steam Turbine,S,153.1,,,,,
2,195,Alabama Power Co,3.0,Barry,AL,2,Natural Gas Steam Turbine,S,153.1,,,,,
3,195,Alabama Power Co,3.0,Barry,AL,4,Conventional Steam Coal,S,403.7,,,,2020 Vulnerable,2024.0
4,195,Alabama Power Co,3.0,Barry,AL,5,Conventional Steam Coal,S,788.8,,,,2020 Vulnerable,2024.0
5,195,Alabama Power Co,3.0,Barry,AL,A1CT,Natural Gas Fired Combined Cycle,S,170.1,,,,,
6,195,Alabama Power Co,3.0,Barry,AL,A1CT2,Natural Gas Fired Combined Cycle,S,170.1,,,,,
7,195,Alabama Power Co,3.0,Barry,AL,A1ST,Natural Gas Fired Combined Cycle,S,195.2,,,,,
8,195,Alabama Power Co,3.0,Barry,AL,A2C1,Natural Gas Fired Combined Cycle,S,170.1,,,,,
9,195,Alabama Power Co,3.0,Barry,AL,A2C2,Natural Gas Fired Combined Cycle,S,170.1,,,,,
10,195,Alabama Power Co,3.0,Barry,AL,A2ST,Natural Gas Fired Combined Cycle,S,195.2,,,,,
11,195,Alabama Power Co,4.0,Walter Bouldin Dam,AL,1,Conventional Hydroelectric,S,75.0,,,,,
12,195,Alabama Power Co,4.0,Walter Bouldin Dam,AL,2,Conventional Hydroelectric,S,75.0,,,,,
13,195,Alabama Power Co,4.0,Walter Bouldin Dam,AL,3,Conventional Hydroelectric,S,75.0,,,,,
14,195,Alabama Power Co,7.0,Gadsden,AL,1,Natural Gas Steam Turbine,S,69.0,,,,,
15,195,Alabama Power Co,7.0,Gadsden,AL,2,Natural Gas Steam Turbine,S,69.0,,,,,
16,195,Alabama Power Co,8.0,Gorgas,AL,10,Conventional Steam Coal,S,788.8,,,,Announced,
17,195,Alabama Power Co,8.0,Gorgas,AL,8,Conventional Steam Coal,S,187.5,,,,Announced,
