,Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Technology,Ownership,Nameplate Capacity (MW),Plant Balance,Retirement Year,Total Cost of Electricity Excluding ADIT ($/MWh),Current Designation,Predicted Retirement Year,Profits,CF Offset,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5
3,195,Alabama Power Co,3.0,Barry,AL,4,Conventional Steam Coal,S,403.7,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
4,195,Alabama Power Co,3.0,Barry,AL,5,Conventional Steam Coal,S,788.8,,,,2020 Vulnerable,2024.0,,,,,,,,,,,,
16,195,Alabama Power Co,8.0,Gorgas,AL,10,Conventional Steam Coal,S,788.8,,,,Announced,,,,,,,,,,,,,
17,195,Alabama Power Co,8.0,Gorgas,AL,8,Conventional Steam Coal,S,187.5,,,,Announced,,,,,,,,,,,,,
18,195,Alabama Power Co,8.0,Gorgas,AL,9,Conventional Steam Coal,S,190.4,,,,Announced,,,,,,,,,,,,,
69,195,Alabama Power Co,26.0,E C Gaston,AL,5,Natural Gas Steam Turbine,S,952.0,,,,2025 Vulnerable,2029.0,,,,,,,,,,,,
107,3265,Cleco Power LLC,51.0,Dolet Hills,LA,1,Conventional Steam Coal,J,720.7,,,,2020 Vulnerable,2024.0,-98.0,-76.0,Cleco Power LLC,0.5,Southwestern Electric Power Co,0.4024,,,,,,
122,189,PowerSouth Energy Cooperative,56.0,Charles R Lowman,AL,1,Conventional Steam Coal,S,66.0,,,,,,,,,,,,,,,,,
123,189,PowerSouth Energy Cooperative,56.0,Charles R Lowman,AL,2,Conventional Steam Coal,S,236.0,,,,,,,,,,,,,,,,,
124,189,PowerSouth Energy Cooperative,56.0,Charles R Lowman,AL,3,Conventional Steam Coal,S,236.0,,,,,,,,,,,,,,,,,
125,40606,City of Grand Island - (NE),59.0,Platte,NE,1,Conventional Steam Coal,S,109.8,,,,Other Remaining,,,,,,,,,,,,,
126,8245,City of Hastings - (NE),60.0,Whelan Energy Center,NE,1,Conventional Steam Coal,S,76.3,,,,Other Remaining,,,,,,,,,,,,,
