Plant ID,State,Utility Name,Plant Name,Reported Depreciable Plant Balance ($),Reported Depreciation Reserve ($),Calculated Plant Value in Study Year ($),Reported Net Salvage Amount,Net Plant Balance Incl. Removal Net of Salvage,Remaining Life of Existing Plant as of Study Year (no decimals),Annual Depreciation Expense ($),Study Year,Retirement Year,Current Remaining Life (yrs),Current Net Plant Balance ($),Current Net Plant Balance Incl. Removal Net of Salvage ($)
57038,MN,Minnesota Power,Bison,774734137,77805038,696929099,-2464282.238,699393381.2,31,22561076.81,2016,2047,27,606684791.7,609149074
1892,MN,Minnesota Power,Blanchard,11920919,5329552,6591367,0,6591367,47,140241.8511,2016,2063,43,6030399.596,6030399.596
1893_1,MN,Minnesota Power,Boswell 1,58832425.62,35960071.33,22872354.29,-4647761.624,27520115.91,8,3440014.489,2016,2024,4,9112296.332,13760057.96
1893_2,MN,Minnesota Power,Boswell 2,53876281.62,34363442.33,19512839.29,-5382240.533,24895079.82,8,3111884.978,2016,2024,4,7065299.377,12447539.91
1893_3,MN,Minnesota Power,Boswell 3,516993097.8,196309813.1,320683284.8,-30244096.22,350927381,18,19495965.61,2016,2034,14,242699422.3,272943518.6
1893_4,MN,Minnesota Power,Boswell 4,701701752.9,225426465.3,476275287.7,-25892794.68,502168082.3,19,26429899.07,2016,2035,15,370555691.4,396448486.1
1894,MN,Minnesota Power,Fond du Lac,18094873,3732563,14362310,0,14362310,47,305581.0638,2016,2063,43,13139985.74,13139985.74
1895,MN,Minnesota Power,Knife Falls,3556172,1832171,1724001,0,1724001,47,36680.87234,2016,2063,43,1577277.511,1577277.511
1896,MN,Minnesota Power,Little Falls,8947421,4249205,4698216,0,4698216,47,99962.04255,2016,2063,43,4298367.83,4298367.83
1897,MN,Minnesota Power,M L Hibbard,93461883,53764885,39696998,-1028080.713,40725078.71,8,5090634.839,2016,2024,4,19334458.64,20362539.36
1898,MN,Minnesota Power,Pillager,2320626,1296654,1023972,0,1023972,47,21786.6383,2016,2063,43,936825.4468,936825.4468
