Plant ID,State,Utility Name,Plant Name,Reported Depreciable Plant Balance ($),Reported Depreciation Reserve ($),Calculated Plant Value in Study Year ($),Reported Net Salvage Amount,Net Plant Balance Incl. Removal Net of Salvage,Remaining Life of Existing Plant as of Study Year (no decimals),Annual Depreciation Expense ($),Study Year,Retirement Year,Current Remaining Life (yrs),Current Net Plant Balance ($),Current Net Plant Balance Incl. Removal Net of Salvage ($)
6018,KY,#REF!,#REF!,694627245.6,455146069,239481176.6,-117165116.4,356646293,20,18047678,2016,2036,16,167290464.6,284455581
7158,KY,#REF!,#REF!,288654555,166413209,122241346,-11519915,133761261,14,9644804,2016,2030,10,83662130,95182045
1353,KY,#REF!,#REF!,,,0,,,,,,,,,
3948,KY,#REF!,#REF!,,,0,,,,,,,,,
1355_Coal,KY,#REF!,#REF!,,,0,,,,,,,,,
1356,KY,#REF!,#REF!,,,0,,,,,,,,,
6071_Coal,KY,#REF!,#REF!,,,0,,,,,,,,,
1358,KY,#REF!,#REF!,,,0,,,,,,,,,
1355_Natural Gas,KY,#REF!,#REF!,,,0,,,,,,,,,
1366_13,KY,#REF!,#REF!,,,0,,,,,,,,,
6071_Natural Gas,KY,#REF!,#REF!,,,0,,,,,,,,,
1363_7ABS,KY,#REF!,#REF!,,,0,,,,,,,,,
1364,KY,#REF!,#REF!,,,0,,,,,,,,,
6071_Coal,KY,#REF!,#REF!,,,0,,,,,,,,,
1363_11,KY,#REF!,#REF!,,,0,,,,,,,,,
1366,KY,#REF!,#REF!,,,0,,,,,,,,,
1368,KY,#REF!,#REF!,,,0,,,,,,,,,
1355_Natural Gas,KY,#REF!,#REF!,,,0,,,,,,,,,
6071_Natural Gas,KY,#REF!,#REF!,,,0,,,,,,,,,
1363_7ABS,KY,#REF!,#REF!,,,0,,,,,,,,,
7159,WI,#REF!,#REF!,131823501.1,52982221.27,78841279.85,-13375722.77,92217002.62,19,4853526.454,2012,2031,11,40013068.22,53388790.99
56068,WI,#REF!,#REF!,20958743.86,1828523.07,19130220.79,-3983408.16,23113628.96,42,550324.499,2012,2054,34,14727624.8,18711032.97
6253,WI,#REF!,#REF!,95688922.75,49146071.91,46542850.84,-8687271.52,55230122.38,18,3068340.132,2012,2030,10,21996129.78,30683401.32
7270,WI,#REF!,#REF!,124299933.1,55147955.77,69151977.31,-11570275.28,80722252.62,20,4036112.631,2012,2032,12,36863076.26,48433351.57
6170,WI,#REF!,#REF!,1180539742,652580127.6,527959614.8,-256482526.8,784442141.7,27,29053412.65,2012,2039,19,295532313.6,552014840.4
4040,WI,#REF!,#REF!,12859777.37,4463651.01,8396126.36,-1519369.58,9915495.94,28,354124.855,2012,2040,20,5563127.52,7082497.1
1769,WI,#REF!,#REF!,368078950.9,159237207.4,208841743.5,-79922033.81,288763777.3,23,12554946.84,2012,2035,15,108402168.8,188324202.6
4041,WI,#REF!,#REF!,1337265657,305412167.5,1031853489,-283100293.9,1314953783,28,46962635.12,2012,2040,20,656152408.5,939252702.3
4042,WI,#REF!,#REF!,147222718.7,73915695.81,73307022.87,-32472197.88,105779220.8,26,4068431.568,2012,2038,18,40759570.33,73231768.22
55135,WI,#REF!,#REF!,112283072.3,38668177.97,73614894.34,-19088121.66,92703016,27,3433445.037,2014,2041,21,53014224.12,72102345.78
57198,WI,#REF!,#REF!,103136750.6,11980910.66,91155839.92,-10313674.08,101469514,26,3902673.615,2014,2040,20,67739798.23,78053472.31
56347,WI,#REF!,#REF!,159015047.9,34972476.52,124042571.4,-17491654.61,141534226,22,6433373.909,2014,2036,16,85442327.94,102933982.5
8023_1,WI,#REF!,#REF!,249223140.3,71571848.14,177651292.2,-46465336.38,224116628.5,19,11795612.03,2014,2033,13,106877620,153342956.4
8023_2,WI,#REF!,#REF!,278383439.9,90352807.5,188030632.4,-50661839.04,238692471.5,21,11366308.17,2014,2035,15,119832783.4,170494622.5
4050_4,WI,#REF!,#REF!,86408653.19,51275396.8,35133256.39,-10956247.61,46089504,14,3292107.429,2014,2028,8,15380611.82,26336859.43
4050_5,WI,#REF!,#REF!,442314741.6,188862401,253452340.6,-73733121.45,327185462,26,12584056.23,2014,2040,20,177948003.2,251681124.6
55641,WI,#REF!,#REF!,515809407.6,135700268.2,380109139.4,-46422846.56,426531986,32,13329124.56,2014,2046,26,300134392.1,346557238.6
4057_3,WI,#REF!,#REF!,3716936.215,3742833.924,-25897.70957,-1040742.783,1014845.073,4,253711.2683,2014,2018,-2,0,0
4057_4,WI,#REF!,#REF!,2627372.694,2615479.854,11892.8401,-735664.3317,747557.1718,4,186889.293,2014,2018,-2,0,0
4057_5,WI,#REF!,#REF!,6488568.912,5506915.14,981653.7724,-1873952.999,2855606.771,4,713901.6928,2014,2018,-2,0,0
4057_6,WI,#REF!,#REF!,6372609.469,5178119.442,1194490.027,-1839840.957,3034330.984,4,758582.7459,2014,2018,-2,0,0
7203_CT2,WI,#REF!,#REF!,26356824.19,14269591.63,12087232.56,-4217092.44,16304325,19,858122.3684,2014,2033,13,6938498.349,11155590.79
7203_CT3,WI,#REF!,#REF!,31137784.1,16376842.08,14760942.02,-4982043.98,19742986,19,1039104.526,2014,2033,13,8526314.862,13508358.84
56166,WI,#REF!,#REF!,562494.98,-25565.7,588060.68,-5625.32,593686,10,59368.6,2014,2024,4,231849.08,237474.4
4059,WI,#REF!,#REF!,6553329.47,6222100.76,331228.71,-131067.29,462296,4,115574,2014,2018,-2,0,0
4072_7,WI,#REF!,#REF!,13240296.75,26256165.89,-13015869.14,-8765928.604,-4249940.538,22,-193179.1154,2008,2030,10,0,0
4072_8,WI,#REF!,#REF!,5114827.789,39762816.9,-34647989.11,-8087479.933,-26560509.18,22,-1207295.872,2008,2030,10,0,0
4078_3,WI,#REF!,#REF!,63612495.17,170617143.7,-107004648.5,-22864336.35,-84140312.19,33,-2549706.43,2008,2041,21,0,0
4078_4,WI,#REF!,#REF!,559168039.6,14469028.15,544699011.4,-41009695.8,585708707.2,38,15413387.03,2008,2046,26,359738367,400748062.8
6018,,,,,,,,,,,,,,,
7158,,,,,,,,,,,,,,,
1353,,,,,,,,,,,,,,,
3948,,,,,,,,,,,,,,,
1355_Coal,,,,,,,,,,,,,,,
1356,,,,,,,,,,,,,,,
6071_Coal,,,,,,,,,,,,,,,
1358,,,,,,,,,,,,,,,
1355_Natural Gas,,,,,,,,,,,,,,,
1366_13,,,,,,,,,,,,,,,
6071_Natural Gas,,,,,,,,,,,,,,,
1363_7ABS,,,,,,,,,,,,,,,
1364,,,,,,,,,,,,,,,
6071_Coal,,,,,,,,,,,,,,,
1363_11,,,,,,,,,,,,,,,
1366,,,,,,,,,,,,,,,
1368,,,,,,,,,,,,,,,
1355_Natural Gas,,,,,,,,,,,,,,,
6071_Natural Gas,,,,,,,,,,,,,,,
1363_7ABS,,,,,,,,,,,,,,,
4060_1,WI,#REF!,,,,,,,,,,,,,
4060_2,WI,#REF!,,,,,,,,,,,,,
4060_3,WI,#REF!,,,,,,,,,,,,,
4061,WI,#REF!,,,,,,,,,,,,,
55029,WI,#REF!,,,,,,,,,,,,,
1787,WI,#REF!,,,,,,,,,,,,,
4063_1,WI,#REF!,,,,,,,,,,,,,
4064,WI,#REF!,,,,,,,,,,,,,
4065,WI,#REF!,,,,,,,,,,,,,
4067,WI,#REF!,,,,,,,,,,,,,
7366,WI,#REF!,,,,,,,,,,,,,
4068,WI,#REF!,,,,,,,,,,,,,
4071,WI,#REF!,,,,,,,,,,,,,
4072_31,WI,#REF!,,,,,,,,,,,,,
4072_7,WI,#REF!,,,,,,,,,,,,,
4072_8,WI,#REF!,,,,,,,,,,,,,
