,Utility Name,Plant Code,Plant Name,Generator ID,Technology,Ownership,Plant Balance,Owner #0,% Owned #0,Owner #1,% Owned #1,Owner #2,% Owned #2,Owner #3,% Owned #3,Owner #4,% Owned #4,Owner #5,% Owned #5,Owner #6,% Owned #6,Owner #7,% Owned #7,Owner #8,% Owned #8,Owner #9,% Owned #9,Owner #10,% Owned #10,Owner #11,% Owned #11,Owner #12,% Owned #12,Owner #13,% Owned #13,Owner #14,% Owned #14
107,Cleco Power LLC,51.0,Dolet Hills,1,Conventional Steam Coal,J,0.0,Cleco Power LLC,0.5,"Northeast Texas Elec Coop, Inc",0.0586,Oklahoma Municipal Power Authority,0.039,Southwestern Electric Power Co,0.4024,,,,,,,,,,,,,,,,,,,,,,
236,Arizona Public Service Co,113.0,Cholla,1,Conventional Steam Coal,S,15033827.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,JEA,207.0,St Johns River Power Park,1,Conventional Steam Coal,J,0.0,Florida Power & Light Co,0.2,JEA,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Public Service Co of Colorado,525.0,Hayden,1,Conventional Steam Coal,J,3837343.3,PacifiCorp,0.245,Public Service Co of Colorado,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,"Duke Energy Florida, LLC",628.0,Crystal River,1,Conventional Steam Coal,S,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,"Duke Energy Florida, LLC",628.0,Crystal River,2,Conventional Steam Coal,S,14939064.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,"Duke Energy Florida, LLC",628.0,Crystal River,5,Conventional Steam Coal,S,13768288.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Gulf Power Co,641.0,Crist,4,Conventional Steam Coal,S,54469835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,Indianapolis Power & Light Co,994.0,AES Petersburg,4,Conventional Steam Coal,S,64859368.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,"Duke Energy Indiana, LLC",1008.0,R Gallagher,2,Conventional Steam Coal,S,104528240.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,Southern Indiana Gas & Elec Co,1012.0,F B Culley,2,Conventional Steam Coal,S,16613763.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,Interstate Power and Light Co,1047.0,Lansing,4,Conventional Steam Coal,S,15292831.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,Interstate Power and Light Co,1073.0,Prairie Creek,3,Conventional Steam Coal,S,2828876.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,Interstate Power and Light Co,1073.0,Prairie Creek,4,Conventional Steam Coal,S,1965504.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
